Galaxy,sigma,sigma_unc,M_BH,M_BH_unc-,M_BH_unc+
"Circinus^c,^d",158.0,18.0,1700000.0,1400000.0,2100000.0
IC1459^e,340.0,17.0,2800000000.0,1600000000.0,3900000000.0
"MW^f,^g",105.0,20.0,4099999.9999999995,3500000.0,4700000.0
N0221 M32,75.0,3.0,3100000.0,2500000.0,3700000.0
N0224 M31,160.0,8.0,150000000.0,120000000.0,240000000.0
N0821^h,209.0,10.0,42000000.0,34000000.0,70000000.0
N1023,205.0,10.0,46000000.0,41000000.0,51000000.0
"N1068^g,^i M77",151.0,7.0,8600000.0,8300000.000000001,8900000.0
N1300^g,218.0,10.0,71000000.0,36000000.0,140000000.0
N1399^j,337.0,16.0,509999999.99999994,440000000.00000006,580000000.0
N1399^j,337.0,16.0,1300000000.0,640000000.0,1800000000.0
N2748^g,115.0,5.0,47000000.0,8600000.0,85000000.0
N2778^h,175.0,8.0,16000000.0,5800000.0,25000000.0
"N2787^g,^k",189.0,9.0,43000000.0,38000000.0,47000000.0
N3031 M81,143.0,7.0,80000000.0,69000000.0,100000000.0
N3115,230.0,11.0,960000000.0,670000000.0,1500000000.0
"N3227^d,^g",133.0,12.0,15000000.0,7000000.0,20000000.0
N3245^g,205.0,10.0,220000000.00000003,170000000.0,270000000.0
N3377^h,145.0,7.0,110000000.00000001,100000000.0,220000000.00000003
N3379^h,206.0,10.0,120000000.0,62000000.0,200000000.0
"N3384^h,^g",143.0,7.0,18000000.0,15000000.0,19000000.0
N3585,213.0,10.0,340000000.0,280000000.0,490000000.00000006
N3607,229.0,11.0,120000000.0,79000000.0,160000000.0
N3608^h,182.0,9.0,210000000.0,140000000.0,320000000.0
N3998,305.0,15.0,240000000.0,62000000.0,450000000.0
N4026,180.0,9.0,210000000.0,170000000.0,280000000.0
N4258,115.0,10.0,37800000.0,37700000.0,37900000.0
N4261,315.0,15.0,550000000.0,430000000.0,660000000.0
N4291^h,242.0,12.0,320000000.0,83000000.0,409999999.99999994
N4342^g,225.0,11.0,360000000.0,240000000.0,560000000.0
N4374^l M84,296.0,14.0,1500000000.0,900000000.0,2600000000.0
N4459^k,167.0,8.0,74000000.0,60000000.0,88000000.0
N4473^h,190.0,9.0,130000000.0,36000000.0,180000000.0
N4486 M87,375.0,18.0,3600000000.0,2600000000.0,4600000000.0
N4486A,111.0,5.0,13000000.0,9000000.0,18000000.0
N4564^h,162.0,8.0,69000000.0,59000000.0,73000000.0
N4594,240.0,12.0,570000000.0,170000000.0,1100000000.0
N4596^k,136.0,6.0,84000000.0,59000000.0,120000000.0
N4649^h M60,385.0,19.0,2100000000.0,1500000000.0,2600000000.0
N4697^h,177.0,8.0,200000000.0,180000000.0,220000000.00000003
N5077,222.0,11.0,800000000.0,470000000.0,1300000000.0
"N5128^j,^m",150.0,7.0,300000000.0,280000000.0,340000000.0
"N5128^j,^m",150.0,7.0,70000000.0,32000000.0,83000000.0
N5576,183.0,9.0,180000000.0,140000000.0,210000000.0
N5845^h,234.0,11.0,290000000.0,120000000.0,340000000.0
N6251,290.0,14.0,600000000.0,400000000.0,800000000.0
N7052,266.0,13.0,400000000.0,240000000.0,680000000.0
N7457^h,67.0,3.0,4099999.9999999995,2400000.0,5300000.0
"N7582^d,^g",156.0,19.0,55000000.0,44000000.0,71000000.0
A1836-BCG^d,288.0,14.0,3900000000.0,3300000000.0,4300000000.0
A3565-BCG^d,322.0,16.0,520000000.0,440000000.00000006,600000000.0
